EntryTime,ExitTime,EntryPrice,ExitPrice,Profit,Result,EMA20,EMA50,EMA200,RSI,ADX,ATR,MACD,MACD_SIGNAL,AI_SCORE
2026-05-14 09:20:00+05:30,2026-05-14 09:35:00+05:30,23569.45,23524.5,-44.95,LOSS,23478.3,23479.85,23610.34,61.77,58.23,35.71,-1.94,-10.33,75.0
2026-05-14 12:05:00+05:30,2026-05-14 14:45:00+05:30,23650.65,23694.7,44.05,WIN,23583.19,23534.45,23590.31,85.57,41.83,36.45,48.68,34.8,85.0
2026-05-15 10:20:00+05:30,2026-05-15 11:00:00+05:30,23820.65,23781.85,-38.8,LOSS,23775.61,23728.41,23652.67,69.02,42.35,38.52,25.85,22.83,85.0
2026-05-15 12:35:00+05:30,2026-05-15 13:35:00+05:30,23743.9,23740.1,-3.8,LOSS,23744.09,23742.61,23677.1,62.78,48.34,22.02,-8.49,-9.15,75.0
2026-05-21 09:15:00+05:30,2026-05-21 10:05:00+05:30,23766.85,23763.6,-3.25,LOSS,23664.77,23636.35,23631.45,70.22,48.03,30.43,21.61,18.17,81.0
2026-05-21 13:45:00+05:30,2026-05-21 15:10:00+05:30,23664.65,23639.2,-25.45,LOSS,23661.92,23679.49,23662.27,60.88,55.9,24.1,-12.57,-18.64,75.0
2026-05-22 10:05:00+05:30,2026-05-22 11:15:00+05:30,23785.5,23766.6,-18.9,LOSS,23726.35,23699.73,23671.44,79.32,40.94,30.71,29.85,21.81,81.0
2026-05-22 12:50:00+05:30,2026-05-22 13:40:00+05:30,23831.55,23801.25,-30.3,LOSS,23789.88,23764.29,23703.46,60.94,40.9,16.4,11.22,10.11,80.0
2026-05-25 09:15:00+05:30,2026-05-25 11:30:00+05:30,23967.6,23962.4,-5.2,LOSS,23765.2,23766.47,23722.39,78.49,77.47,35.96,4.44,-13.05,75.0
2026-05-25 15:15:00+05:30,2026-05-26 09:15:00+05:30,24025.55,24012.55,-13.0,LOSS,24003.05,23975.14,23853.82,78.7,42.53,13.94,17.17,13.08,81.0
2026-05-26 09:20:00+05:30,2026-05-26 09:55:00+05:30,24020.6,24028.75,8.15,WIN,24011.26,23983.03,23860.68,63.73,48.54,20.09,15.33,15.24,81.0
2026-06-03 14:05:00+05:30,2026-06-03 15:05:00+05:30,23383.3,23389.4,6.1,WIN,23328.53,23306.15,23414.25,70.37,41.83,33.38,33.68,27.18,80.0
2026-06-04 10:00:00+05:30,2026-06-04 10:30:00+05:30,23420.8,23388.0,-32.8,LOSS,23381.42,23361.09,23409.85,58.13,41.94,39.9,5.93,4.53,77.0
2026-06-09 11:55:00+05:30,2026-06-09 12:55:00+05:30,23181.3,23181.9,0.6,WIN,23159.45,23169.53,23252.29,64.49,40.14,22.77,-0.99,-5.9,75.0
2026-06-10 09:55:00+05:30,2026-06-10 10:10:00+05:30,23366.6,23317.0,-49.6,LOSS,23305.4,23255.15,23249.45,76.87,43.58,29.68,40.69,32.96,86.0
2026-06-12 09:40:00+05:30,2026-06-12 10:45:00+05:30,23370.1,23345.5,-24.6,LOSS,23289.01,23258.54,23260.87,69.89,40.53,45.12,43.96,20.02,82.0
